index,gps_code,coordinates,longitude,latitude
137,SNNL,"-57.129145, -12.798737",-57.129145,-12.798737
138,SDIJ,"-35.497589, -8.187697",-35.497589,-8.187697
139,SIAN,"-43.659414, -22.96126",-43.659414,-22.96126
140,SWXS,"-56.007778, -16.161389",-56.007778,-16.161389
141,SSIP,"-49.267606, -26.847613",-49.267606,-26.847613
142,SJQE,"-39.261732, -5.181512",-39.261732,-5.181512
143,SIGO,"-46.641769, -23.57361",-46.641769,-23.57361
144,SNFG,"-57.520007, -5.359444",-57.520007,-5.359444
145,SSTH,"-38.109267, -7.842986",-38.109267,-7.842986
146,SDUH,"-45.563107, -22.743763",-45.563107,-22.743763
147,SWXI,"-34.938377, -8.239522",-34.938377,-8.239522
148,SSSX,"-45.181765, -3.265627",-45.181765,-3.265627
149,SICE,"-44.299808, -2.535175",-44.299808,-2.535175
150,SIBO,"-45.29456, -18.308846",-45.29456,-18.308846
151,SIAH,"-38.4348, -3.913101",-38.4348,-3.913101
152,SDRV,"-52.686835, -18.748165",-52.686835,-18.748165
153,SDRW,"-53.196792, -21.511361",-53.196792,-21.511361
154,SDCB,"-47.702816, -15.773333",-47.702816,-15.773333
155,SSVG,"-45.986143, -20.761307",-45.986143,-20.761307
156,SDJJ,"-49.047609, -22.87129",-49.047609,-22.87129
157,SDJR,"-44.304789, -19.430741",-44.304789,-19.430741
158,SDJZ,"-54.148725, -29.951531",-54.148725,-29.951531
159,SDDS,"-46.70343, -23.624125",-46.70343,-23.624125
160,SWBQ,"-40.17637, -18.463066",-40.17637,-18.463066
161,SNJL,"-45.771057, -12.125186",-45.771057,-12.125186
162,SDKW,"-47.108611, -23.416111",-47.108611,-23.416111
163,SDKX,"-55.649945, -14.62657",-55.649945,-14.62657
164,SDLD,"-51.994144, -10.138273",-51.994144,-10.138273
165,SDLH,"-54.520702, -19.31996",-54.520702,-19.31996
166,SDLS,"-48.964796, -27.083707",-48.964796,-27.083707
167,SDMA,"-47.060518, -23.185832",-47.060518,-23.185832
168,SDMK,"-52.522778, -20.970556",-52.522778,-20.970556
169,SDML,"-49.303659, -25.558389",-49.303659,-25.558389
170,SDMN,"-46.698056, -23.601389",-46.698056,-23.601389
171,SDMP,"-48.495278, -23.138611",-48.495278,-23.138611
172,SDNF,"-43.923397, -20.16056",-43.923397,-20.16056
173,SDNG,"-48.600434, -22.418673",-48.600434,-22.418673
174,SDNS,"-55.210278, -14.986382",-55.210278,-14.986382
175,SDNW,"-55.231771, -19.51719",-55.231771,-19.51719
176,SSLK,"-44.997778, -20.405833",-44.997778,-20.405833
177,SSLL,"-65.770278, -9.621389",-65.770278,-9.621389
178,SSLU,"-49.342342, -25.43985",-49.342342,-25.43985
179,SSLX,"-52.808518, -22.633037",-52.808518,-22.633037
180,SSMA,"-47.796229, -21.20152",-47.796229,-21.20152
181,SSMD,"-38.643784, -12.763409",-38.643784,-12.763409
182,SSMI,"-54.979972, -15.35926",-54.979972,-15.35926
183,SSML,"-43.635556, -13.196667",-43.635556,-13.196667
184,SWXY,"-49.60542, -22.251697",-49.60542,-22.251697
185,SDLW,"-50.849584, -14.981989",-50.849584,-14.981989
186,SSMN,"-49.240892, -16.704961",-49.240892,-16.704961
187,SSMS,"-44.030805, -19.865664",-44.030805,-19.865664
188,SSNE,"-56.39312, -17.130347",-56.39312,-17.130347
189,SSNL,"-48.720893, -16.585438",-48.720893,-16.585438
190,SSNM,"-49.138068, -25.381922",-49.138068,-25.381922
191,SSNN,"-54.767387, -14.440319",-54.767387,-14.440319
192,SNNR,"-53.973374, -22.916353",-53.973374,-22.916353
193,SNNV,"-48.934853, -26.305918",-48.934853,-26.305918
194,SNNX,"-57.271111, -29.980556",-57.271111,-29.980556
195,SNOI,"-50.49046, -22.005324",-50.49046,-22.005324
196,SNOO,"-43.956872, -19.946205",-43.956872,-19.946205
197,SNOP,"-61.433012, -10.559263",-61.433012,-10.559263
198,SNOT,"-48.274167, -19.384722",-48.274167,-19.384722
199,SNPG,"-56.498042, -17.305104",-56.498042,-17.305104
200,SNPP,"-45.12599, -23.503208",-45.12599,-23.503208
201,SNPW,"-53.220476, -17.926765",-53.220476,-17.926765
202,SNQJ,"-44.806349, -20.242657",-44.806349,-20.242657
203,SNQL,"-43.341713, -22.864536",-43.341713,-22.864536
204,SNAY,"-59.352935, -15.245652",-59.352935,-15.245652
205,SNBP,"-40.289668, -20.343285",-40.289668,-20.343285
206,SNBU,"-44.056764, -19.359449",-44.056764,-19.359449
207,SNBV,"-36.219124, -7.948262",-36.219124,-7.948262
208,SNBY,"-43.920946, -19.920428",-43.920946,-19.920428
209,SNCC,"-60.802778, -13.576111",-60.802778,-13.576111
210,SNCG,"-54.447852, -20.761963",-54.447852,-20.761963
211,SSAC,"-55.697992, -12.594081",-55.697992,-12.594081
212,SSAR,"-43.216877, -22.427264",-43.216877,-22.427264
213,SSAZ,"-35.218407, -5.738476",-35.218407,-5.738476
214,SSBA,"-45.938674, -11.180094",-45.938674,-11.180094
215,SSBB,"-45.95, -17.375833",-45.95,-17.375833
216,SSBO,"-48.528333, -27.614324",-48.528333,-27.614324
217,SSBQ,"-52.286279, -10.150683",-52.286279,-10.150683
218,SWTM,"-50.172313, -25.114826",-50.172313,-25.114826
219,SWTW,"-38.515879, -3.731127",-38.515879,-3.731127
220,SWUB,"-38.293333, -12.163333",-38.293333,-12.163333
221,SJXF,"-44.417058, -19.843757",-44.417058,-19.843757
222,SWWN,"-44.436647, -22.998754",-44.436647,-22.998754
223,SWWJ,"-47.162242, -23.06225",-47.162242,-23.06225
224,SIOU,"-47.42426, -3.373164",-47.42426,-3.373164
225,SWWD,"-46.673663, -23.05079",-46.673663,-23.05079
226,SWWC,"-60.716017, 2.766853",-60.716017,2.766853
227,SWWB,"-48.912778, -27.08",-48.912778,-27.08
228,SDEV,"-59.096114, -13.146056",-59.096114,-13.146056
229,SDEX,"-47.3475, -23.339167",-47.3475,-23.339167
230,SDFA,"-44.444066, -22.969466",-44.444066,-22.969466
231,SDKB,"-49.24063, -25.438249",-49.24063,-25.438249
232,SDLJ,"-44.477475, -19.258062",-44.477475,-19.258062
233,SDNX,"-44.192114, -23.04208",-44.192114,-23.04208
234,SDNY,"-57.868329, -13.885715",-57.868329,-13.885715
235,SDNZ,"-43.945922, -19.983692",-43.945922,-19.983692
236,SDOM,"-34.829953, -7.650843",-34.829953,-7.650843
237,SDOY,"-51.756718, -6.223943",-51.756718,-6.223943
238,SDPB,"-47.389709, -20.536099",-47.389709,-20.536099
239,SDPF,"-47.167722, -22.727014",-47.167722,-22.727014
240,SDPG,"-43.187907, -22.940478",-43.187907,-22.940478
241,SDPJ,"-49.304726, -16.750022",-49.304726,-16.750022
242,SDPR,"-59.310886, -15.155663",-59.310886,-15.155663
243,SDPS,"-46.532967, -23.670723",-46.532967,-23.670723
244,SDPS,"-46.532967, -23.670723",-46.532967,-23.670723
245,SDQD,"-60.014395, -16.112453",-60.014395,-16.112453
246,SDQF,"-50.694442, -17.598061",-50.694442,-17.598061
247,SDQH,"-58.602591, -10.653375",-58.602591,-10.653375
248,SDQM,"-45.985349, -11.708202",-45.985349,-11.708202
249,SDQN,"-46.052505, -11.656275",-46.052505,-11.656275
250,SDQV,"-46.41059, -23.432797",-46.41059,-23.432797
251,SDQW,"-46.128665, -23.326475",-46.128665,-23.326475
252,SDRD,"-49.088611, -13.781944",-49.088611,-13.781944
253,SDRL,"-57.826467, -21.449769",-57.826467,-21.449769
254,SDRY,"-43.399781, -22.251257",-43.399781,-22.251257
255,SDRZ,"-56.88113, -19.615035",-56.88113,-19.615035
256,SDSG,"-53.355196, -17.746047",-53.355196,-17.746047
257,SDSI,"-45.693068, -7.62694",-45.693068,-7.62694
258,SDSJ,"-53.46509, -24.871085",-53.46509,-24.871085
259,SDSY,"-46.368333, -22.998333",-46.368333,-22.998333
260,SDTH,"-57.576667, -13.14",-57.576667,-13.14
261,SDTL,"-43.937631, -19.914521",-43.937631,-19.914521
262,SDTQ,"-46.321948, -23.936942",-46.321948,-23.936942
263,SDTR,"-59.897897, -16.132092",-59.897897,-16.132092
264,SDTW,"-58.525555, -13.609167",-58.525555,-13.609167
265,SDTZ,"-45.561229, -8.870885",-45.561229,-8.870885
266,SDUA,"-55.393581, -7.038713",-55.393581,-7.038713
267,SDUG,"-61.158593, 4.24349",-61.158593,4.24349
268,SDUO,"-40.870106, -14.911746",-40.870106,-14.911746
269,SDUR,"-42.84233, -22.712506",-42.84233,-22.712506
270,SDUS,"-61.770878, -9.191392",-61.770878,-9.191392
271,SDVC,"-35.165015, -8.917833",-35.165015,-8.917833
272,SDVK,"-53.474602, -21.794693",-53.474602,-21.794693
273,SDVN,"-45.552664, -22.689313",-45.552664,-22.689313
274,SDVO,"-48.130556, -7.284167",-48.130556,-7.284167
275,SDVQ,"-46.737958, -8.155351",-46.737958,-8.155351
276,SDVU,"-46.652842, -23.563535",-46.652842,-23.563535
277,SDVY,"-49.999379, -21.519974",-49.999379,-21.519974
278,SDVZ,"-36.653894, -6.639812",-36.653894,-6.639812
279,SDWE,"-57.049444, -18.934444",-57.049444,-18.934444
280,SDWF,"-60.739722, 4.574167",-60.739722,4.574167
281,SDWG,"-45.133013, -13.059219",-45.133013,-13.059219
282,SDWJ,"-58.041757, -13.330714",-58.041757,-13.330714
283,SDWP,"-44.338083, -22.957805",-44.338083,-22.957805
284,SDWS,"-46.919339, -23.502798",-46.919339,-23.502798
285,SDWW,"-48.542801, -27.587948",-48.542801,-27.587948
286,SDWY,"-53.806093, -29.691725",-53.806093,-29.691725
287,SWVL,"-47.874251, -22.063571",-47.874251,-22.063571
288,SWVN,"-47.41136, -23.173337",-47.41136,-23.173337
289,SWVJ,"-59.950556, -13.598056",-59.950556,-13.598056
290,SDCF,"-56.28251, -19.697111",-56.28251,-19.697111
291,SDQT,"-53.691479, -22.597778",-53.691479,-22.597778
292,SDZW,"-45.050057, -17.591322",-45.050057,-17.591322
293,SDZV,"-53.41453, -16.235051",-53.41453,-16.235051
294,SDZT,"-46.847212, -23.497468",-46.847212,-23.497468
295,SDZS,"-44.721111, -8.011944",-44.721111,-8.011944
296,SDZA,"-47.866518, -15.830319",-47.866518,-15.830319
297,SDYY,"-44.284722, -2.498611",-44.284722,-2.498611
298,SISB,"-47.088285, -23.003931",-47.088285,-23.003931
299,SIYB,"-47.055126, -22.911077",-47.055126,-22.911077
300,SJZE,"-50.560027, -10.542347",-50.560027,-10.542347
301,SJZG,"-49.718342, -9.573737",-49.718342,-9.573737
302,SSCW,"-57.156867, -13.410128",-57.156867,-13.410128
303,SSCZ,"-49.066264, -26.923861",-49.066264,-26.923861
304,SICS,"-55.533357, -13.67169",-55.533357,-13.67169
305,SSDF,"-38.501036, -12.51833",-38.501036,-12.51833
306,SSDJ,"-38.499786, -3.745417",-38.499786,-3.745417
307,SSDN,"-45.980425, -10.318907",-45.980425,-10.318907
308,SSDO,"-39.316389, -16.753778",-39.316389,-16.753778
309,SSVC,"-40.914804, -14.907885",-40.914804,-14.907885
310,SSVF,"-48.498243, -27.149238",-48.498243,-27.149238
311,SSVJ,"-53.904722, -17.936111",-53.904722,-17.936111
312,SSVM,"-45.829951, -14.699316",-45.829951,-14.699316
313,SSVQ,"-43.706364, -20.370321",-43.706364,-20.370321
314,SSVS,"-54.76868, -21.695564",-54.76868,-21.695564
315,SNXD,"-43.756741, -20.538641",-43.756741,-20.538641
316,SSVX,"-50.032116, -7.301528",-50.032116,-7.301528
317,SSWB,"-47.558056, -16.014444",-47.558056,-16.014444
318,SSWC,"-43.950623, -19.928995",-43.950623,-19.928995
319,SIOX,"-51.176805, -23.335498",-51.176805,-23.335498
320,SDXC,"-49.296939, -25.51543",-49.296939,-25.51543
321,SDXD,"-45.804722, -14.639722",-45.804722,-14.639722
322,SSWL,"-41.023333, -3.74",-41.023333,-3.74
323,SISR,"-48.041476, -1.224084",-48.041476,-1.224084
324,SIYP,"-35.718547, -9.673878",-35.718547,-9.673878
325,SJHX,"-47.291674, -16.594886",-47.291674,-16.594886
326,SWVT,"-48.673001, -27.641974",-48.673001,-27.641974
327,SWVQ,"-37.270839, -8.693903",-37.270839,-8.693903
328,SWVP,"-37.844832, -10.69424",-37.844832,-10.69424
329,SWVI,"-46.036963, -11.227551",-46.036963,-11.227551
330,SWVE,"-37.775255, -12.240697",-37.775255,-12.240697
331,SWVD,"-47.136667, -23.563056",-47.136667,-23.563056
332,SWVA,"-38.389444, -12.8975",-38.389444,-12.8975
333,SDXG,"-63.021597, -11.763868",-63.021597,-11.763868
334,SDXR,"-50.006037, -21.278236",-50.006037,-21.278236
335,SDXU,"-53.264722, -13.626667",-53.264722,-13.626667
336,SDXY,"-47.544895, -4.56463",-47.544895,-4.56463
337,SDYE,"-45.742818, -10.628026",-45.742818,-10.628026
338,SDYL,"-39.802092, -19.532935",-39.802092,-19.532935
339,SDYM,"-43.957726, -19.927064",-43.957726,-19.927064
340,SIPM,"-48.891326, -27.06636",-48.891326,-27.06636
341,SIEH,"-50.612413, -20.31226",-50.612413,-20.31226
342,SWNF,"-49.629167, -9.499722",-49.629167,-9.499722
343,SJDG,"-49.891389, -22.8875",-49.891389,-22.8875
344,SSPJ,"-58.541389, -9.369167",-58.541389,-9.369167
345,SJGV,"-49.228333, -16.4625",-49.228333,-16.4625
346,SIAS,"-54.284715, -12.939784",-54.284715,-12.939784
347,SSDR,"-43.1904, -22.965445",-43.1904,-22.965445
348,SIOY,"-43.175736, -21.880671",-43.175736,-21.880671
349,SSDS,"-56.196698, -12.429516",-56.196698,-12.429516
350,SSDY,"-50.652101, 0.840789",-50.652101,0.840789
351,SSDZ,"-46.140404, -12.811941",-46.140404,-12.811941
352,SSEG,"-52.937149, -26.289928",-52.937149,-26.289928
353,SSEY,"-39.863185, -14.530083",-39.863185,-14.530083
354,SSFG,"-55.751122, -18.230711",-55.751122,-18.230711
355,SSFI,"-56.565148, -17.908177",-56.565148,-17.908177
356,SSFM,"-44.893809, -8.023637",-44.893809,-8.023637
357,SSFQ,"-46.254738, -5.941306",-46.254738,-5.941306
358,SSFR,"-46.856689, -23.484045",-46.856689,-23.484045
359,SSFT,"-49.12631, -26.536313",-49.12631,-26.536313
360,SWUT,"-44.106642, -19.97044",-44.106642,-19.97044
361,SWAT,"-39.16125, -16.957378",-39.16125,-16.957378
362,SWAV,"-51.442479, -16.787734",-51.442479,-16.787734
363,SWBL,"-46.006719, -20.630575",-46.006719,-20.630575
364,SSHQ,"-52.674356, -22.354727",-52.674356,-22.354727
365,SJFP,"-57.653611, -20.130726",-57.653611,-20.130726
366,SWBY,"-50.014445, -17.153917",-50.014445,-17.153917
367,SWCE,"-46.166274, -11.358406",-46.166274,-11.358406
368,SWCF,"-51.497209, -9.740699",-51.497209,-9.740699
369,SWCK,"-46.8511, -23.501486",-46.8511,-23.501486
370,SJBH,"-52.526723, -12.800623",-52.526723,-12.800623
371,SJHY,"-44.170615, -19.958694",-44.170615,-19.958694
372,SWBZ,"-44.659746, -11.408109",-44.659746,-11.408109
373,SWCJ,"-44.248678, -8.591196",-44.248678,-8.591196
374,SWCM,"-42.539653, -19.497118",-42.539653,-19.497118
375,SWCN,"-42.948834, -22.934679",-42.948834,-22.934679
376,SWCP,"-48.010666, -21.032996",-48.010666,-21.032996
377,SWCT,"-49.288874, -25.449184",-49.288874,-25.449184
378,SWCU,"-54.935524, -8.004433",-54.935524,-8.004433
379,SNDD,"-47.324478, -23.065919",-47.324478,-23.065919
380,SNDF,"-52.876944, -22.766667",-52.876944,-22.766667
381,SNDG,"-59.790226, -6.466872",-59.790226,-6.466872
382,SWCY,"-42.979878, -22.451669",-42.979878,-22.451669
383,SWDA,"-38.43184, -12.947616",-38.43184,-12.947616
384,SWDB,"-57.205424, -19.818898",-57.205424,-19.818898
385,SWDC,"-38.751684, -12.270796",-38.751684,-12.270796
386,SWDF,"-48.023149, -15.827538",-48.023149,-15.827538
387,SWDI,"-48.866511, -23.447172",-48.866511,-23.447172
388,SWDK,"-48.302529, -20.32674",-48.302529,-20.32674
389,SWDQ,"-55.206932, -18.829941",-55.206932,-18.829941
390,SWDS,"-61.994036, -10.953421",-61.994036,-10.953421
391,SWDU,"-34.888245, -7.473238",-34.888245,-7.473238
392,SWDV,"-44.433963, -19.686838",-44.433963,-19.686838
393,SWDZ,"-47.784331, -21.230102",-47.784331,-21.230102
394,SWEG,"-46.827722, -23.50244",-46.827722,-23.50244
395,SWEJ,"-48.544917, -10.182756",-48.544917,-10.182756
396,SWEL,"-46.680556, -23.505556",-46.680556,-23.505556
397,SWES,"-51.091345, -23.28741",-51.091345,-23.28741
398,SWET,"-43.493665, -22.73881",-43.493665,-22.73881
399,SWEX,"-45.786175, -3.911944",-45.786175,-3.911944
400,SWEY,"-43.533887, -22.345979",-43.533887,-22.345979
401,SWFE,"-61.806527, -9.293056",-61.806527,-9.293056
402,SWFH,"-39.01528, -16.358824",-39.01528,-16.358824
403,SWFJ,"-55.797249, -22.210531",-55.797249,-22.210531
404,SWFO,"-46.26199, -10.966565",-46.26199,-10.966565
405,SWFP,"-55.381793, -4.160526",-55.381793,-4.160526
406,SWFT,"-44.291344, -2.501631",-44.291344,-2.501631
407,SWFW,"-56.027202, -11.54746",-56.027202,-11.54746
408,SWGE,"-49.426042, -25.435437",-49.426042,-25.435437
409,SWGF,"-61.250335, -7.907935",-61.250335,-7.907935
410,SWGH,"-38.503062, -3.735053",-38.503062,-3.735053
411,SWGJ,"-44.584951, -12.711863",-44.584951,-12.711863
412,SWGK,"-38.308721, -12.875365",-38.308721,-12.875365
413,SWGM,"-46.143609, -23.337122",-46.143609,-23.337122
414,SWGR,"-45.932733, -23.184137",-45.932733,-23.184137
415,SWGU,"-58.24733, -12.657837",-58.24733,-12.657837
416,SWGZ,"-48.900361, -3.012491",-48.900361,-3.012491
417,SWHA,"-43.464575, -23.008288",-43.464575,-23.008288
418,SWHB,"-47.602869, -22.682877",-47.602869,-22.682877
419,SWFZ,"-47.147057, -11.560653",-47.147057,-11.560653
420,SWJU,"-49.493044, -11.543398",-49.493044,-11.543398
421,SJBR,"-48.970624, -12.243622",-48.970624,-12.243622
422,SJZZ,"-48.415833, -13.018889",-48.415833,-13.018889
423,SSHW,"-47.085833, -8.553056",-47.085833,-8.553056
424,SNJW,"-45.726114, -23.177677",-45.726114,-23.177677
425,SDBX,"-52.926667, -25.998333",-52.926667,-25.998333
426,SDDL,"-50.410767, -16.867921",-50.410767,-16.867921
427,SDHM,"-44.006521, -19.985514",-44.006521,-19.985514
428,SDQS,"-45.475, -23.1375",-45.475,-23.1375
429,SDSW,"-43.992648, -22.582173",-43.992648,-22.582173
430,SDSW,"-43.992648, -22.582173",-43.992648,-22.582173
431,SDXZ,"-48.682292, -16.928677",-48.682292,-16.928677
432,SIBF,"-44.148474, -19.64962",-44.148474,-19.64962
433,SIHX,"-58.191167, -9.406699",-58.191167,-9.406699
